"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","311","","ru.yandex.praktikum.CourierLoginTest","","ru.yandex.praktikum.CourierLoginTest","","loginCourierAndCheckResponse404",""
"passed","","","305","","ru.yandex.praktikum.CourierLoginTest","","ru.yandex.praktikum.CourierLoginTest","","loginCourierAndCheckResponse400",""
"passed","","","380","","ru.yandex.praktikum.OrderCreateTest","","ru.yandex.praktikum.OrderCreateTest","","orderCreateTest[1]",""
"passed","","","570","","ru.yandex.praktikum.CourierCreateTest","","ru.yandex.praktikum.CourierCreateTest","","createCourierAndCheckResponse409",""
"passed","","","329","","ru.yandex.praktikum.OrderCreateTest","","ru.yandex.praktikum.OrderCreateTest","","orderCreateTest[2]",""
"passed","","","1190","","ru.yandex.praktikum.GetOrdersTest","","ru.yandex.praktikum.GetOrdersTest","","getOrdersAndCheckResponse",""
"passed","","","328","","ru.yandex.praktikum.OrderCreateTest","","ru.yandex.praktikum.OrderCreateTest","","orderCreateTest[3]",""
"passed","","","930","","ru.yandex.praktikum.CourierCreateTest","","ru.yandex.praktikum.CourierCreateTest","","createCourierAndCheckResponse201",""
"passed","","","2464","","ru.yandex.praktikum.OrderCreateTest","","ru.yandex.praktikum.OrderCreateTest","","orderCreateTest[0]",""
"passed","","","1055","","ru.yandex.praktikum.CourierLoginTest","","ru.yandex.praktikum.CourierLoginTest","","loginCourierAndCheckResponse200",""
"passed","","","322","","ru.yandex.praktikum.CourierCreateTest","","ru.yandex.praktikum.CourierCreateTest","","createCourierAndCheckResponse400",""
